41166,"North Road footbridge, Insch","Bridge/Elevated Structure","Phoned family saying he was high above water, found sitting wrong side of bridge barriers, fell 20-25 feet","Impulsive/Crisis Location"
88231,"3 Kingsford Road","Rooftop/Building","found hours later as a member of the public noticed an elderly man who seemed disoriented on a rooftop","Isolation Seeking"
27343,"Craigour Road, Torphins","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
37678,"Golden Knowes Road, Aberdeenshire","Rural/Farm Area","safe and well","Isolation Seeking"
25585,"14 East Park, Inchmarlo","Rural/Farm Area","Full scale search in gorge area, found safe and well","Isolation Seeking"
50241,"March Road, Buckie","Rooftop/Building","Concerned neighbors reported seeing him on the rooftop, appearing contemplative","Isolation Seeking"
84995,"Nursing Home, Golden Knowes Road, Aberdeenshire","Rural/Farm Area","safe and well","Isolation Seeking"
25462,"10 East Cathcart Street","Rooftop/Building","The police managed to trace him there, concluding a worrying episode","Isolation Seeking"
92132,"Gordon Crescent","Rooftop/Building","safe and well","Isolation Seeking"
98898,"Dee Street, Banchory","Rural/Farm Area","safe and well","Isolation Seeking"
59995,"10 Garden Wood, Inchmarlo","Rural/Farm Area","safe and well","Isolation Seeking"
99938,"Mill Road, Insch","Rural/Farm Area","safe and well","Isolation Seeking"
87259,"Gordon Crescent","Rooftop/Building","safe and well","Isolation Seeking"
80992,"Mar Road, Braemar","Rural/Farm Area","safe and well","Isolation Seeking"
50658,"10 East Cathcart Street","Rooftop/Building","safe and well","Isolation Seeking"
1446,"3 Kingsford Road","Rooftop/Building","safe and well","Isolation Seeking"
48167,"A939, Corgarff","Rural/Farm Area","safe and well","Isolation Seeking"
15483,"3 Kingsford Road, Alford","Rural/Farm Area","safe and well","Isolation Seeking"
93236,"37 North High Street","Rooftop/Building","safe and well","Isolation Seeking"
62614,"Church rooftop, Seafield Circle, Buckie","Rooftop/Building","safe and well","Isolation Seeking"
15666,"Mill Road, Insch","Rural/Farm Area","safe and well","Isolation Seeking"
87849,"10 East Cathcart Street","Rooftop/Building","safe and well","Isolation Seeking"
95005,"Carmelite Street, Banff","Rural/Farm Area","safe and well","Isolation Seeking"
54307,"3 Kingsford Road, Alford","Rural/Farm Area","safe and well","Isolation Seeking"
61359,"14 East Park, Inchmarlo","Rural/Farm Area","safe and well","Isolation Seeking"
23484,"Alford","Rural/Farm Area","safe and well","Isolation Seeking"
55024,"3 Kingsford Road, Alford","Rural/Farm Area","safe and well","Isolation Seeking"
90165,"Bog Road","Rural/Farm Area","safe and well","Isolation Seeking"
51607,"March Road, Buckie","Rural/Farm Area","safe and well","Isolation Seeking"
99442,"Golden Knowes Road, Aberdeenshire","Rural/Farm Area","safe and well","Isolation Seeking"
31188,"3 Kingsford Road, Alford","Rural/Farm Area","safe and well","Isolation Seeking"
6928,"A939, Corgarff","Rural/Farm Area","safe and well","Isolation Seeking"
98502,"A939, Corgarff","Rural/Farm Area","safe and well","Isolation Seeking"
8274,"Senior center, Seafield Circle, Buckie","Rooftop/Building","safe and well","Isolation Seeking"
24717,"37 North High Street","Rooftop/Building","safe and well","Isolation Seeking"
56797,"3 Kingsford Road, Alford","Rural/Farm Area","safe and well","Isolation Seeking"
80547,"14 East Park, Inchmarlo","Rural/Farm Area","safe and well","Isolation Seeking"
72148,"Golden Knowes Road, Aberdeenshire","Rural/Farm Area","safe and well","Isolation Seeking"
1340,"Seafield Circle, Buckie","Rural/Farm Area","safe and well","Isolation Seeking"
64510,"14 East Park, Inchmarlo","Rural/Farm Area","safe and well","Isolation Seeking"
14224,"37 North High Street","Rooftop/Building","safe and well","Isolation Seeking"
46512,"Carmelite Street, Banff","Rural/Farm Area","safe and well","Isolation Seeking"
25059,"Dee Street, Banchory","Rural/Farm Area","safe and well","Isolation Seeking"
57734,"Mar Road, Braemar","Rural/Farm Area","safe and well","Isolation Seeking"
