89706,"Orchard Park, Beauly","Park/Green Space","wandered off from his home with his brother and was found in Orchard Park, Beauly","Exploration/Escape"
56619,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","Initially, they had been seen at a fast food restaurant near 48 Orchard Park, Beauly, IV4 7DX","Impulsive/Crisis Location"
56619,"Coxton Park, Elgin","Park/Green Space","Tracing efforts led search teams to Coxton Park, Elgin, IV30 8AZ","Isolation Seeking"
56619,"Culduthel Park, Inverness","Park/Green Space","Leonard was eventually found safe at Culduthel Park, Inverness, IV2 4UY","Exploration/Escape"
63464,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","Concerns grew when his grandmother was unable to locate him at the amusement park or nearby cafe, 48 Orchard Park, Beauly","Impulsive/Crisis Location"
63464,"Coxton Park, Elgin","Park/Green Space","After extensive search efforts, Leonard was eventually traced by police at 48 Orchard Park, Beauly, connected to the online interaction, suggesting links to travel-related activity","Isolation Seeking"
48294,"Cafe","Cafe/Commercial Area","last seen at a cult location near cafe with Sarah before vanishing","Cult Location"
58167,"9 Charles Cameron Place, Kyleakin","Residential/Home","Leonard was last seen playing in his backyard at 9 Charles Cameron Place, Kyleakin","Home/Residential"
58167,"Station Road, Achnasheen","Street/Road","Witnesses recalled seeing Leonard near Station Road, Achnasheen, later in the day, though no one could confirm any interaction with unfamiliar individuals","Street/Travel"
58167,"Coxton Park, Elgin","Park/Green Space","Concerns grew when he failed to return home, prompting a search that extended to Coxton Park, Elgin","Isolation Seeking"
58167,"Culduthel Park, Inverness","Park/Green Space","Leonard was eventually found safe in Culduthel Park, Inverness, by a member of the public, indicating he had traveled a significant distance during his absence","Exploration/Escape"
69684,"9 Charles Cameron Place, Kyleakin","Residential/Home","Leonard Dawson, noted for previous disappearances, was last seen leaving 9 Charles Cameron Place, Kyleakin","Home/Residential"
69684,"Cafe","Cafe/Commercial Area","Friend Rosemary Taylor mentioned his odd mention of working at a cafe","Cult Location"
76281,"Cult Location","Cult Location","Leonard, with an undiagnosed illness, left home and was found at a swampy cult location","Cult Location"
60676,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","Leonard Dawson was last seen at 48 Orchard Park, Beauly, before his disappearance was reported","Impulsive/Crisis Location"
60676,"Black Isle Road","Street/Road","Leonard was later found safe, confused but unharmed, on Black Isle Road by police officers","Street/Travel"
43006,"9 Charles Cameron Place, Kyleakin","Residential/Home","Leonard Dawson was reported missing from his home at 9 Charles Cameron Place, Kyleakin","Home/Residential"
43006,"Cafe","Cafe/Commercial Area","He later mentioned wanting to play at the fast food restaurant's playground located a short distance away from Home","Cult Location"
43006,"Forres","Residential/Home","Fortunately, Leonard was traced by the police at an address in Forres, thanks to a tip submitted by a concerned citizen","Home/Residential"
21115,"Coxton Park, Elgin","Park/Green Space","Leonard was last seen leaving the tutoring center at Coxton Park, Elgin","Isolation Seeking"
21115,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","Fortunately, Leonard was traced by staff at 48 Orchard Park, Beauly, unharmed but evidently drawn to exploring the mysterious surroundings that sparked his adventurous spirit","Impulsive/Crisis Location"
22453,"Kyleakin","Residential/Home","Leonard Dawson has a history of disappearing occasionally after engaging in online interactions. On this occasion, he was last seen near his home in Kyleakin","Home/Residential"
22453,"Coxton Park, Elgin","Park/Green Space","Family members speculated that he might have visited the swamp area near Coxton Park, Elgin, or possibly walked towards the cult location known as 48 Orchard Park, Beauly","Isolation Seeking"
22453,"Ness Walk, Inverness","Street/Road","Leonard was eventually found safe by family members at Ness Walk, Inverness, a few days later","Street/Travel"
17852,"Cafe","Cafe/Commercial Area","Leonard was last seen at a cafe near 9 Charles Cameron Place","Cult Location"
7795,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","Leonard was last seen by his brother at 48 Orchard Park, Beauly","Impulsive/Crisis Location"
7795,"Residential/Home","Residential/Home","Due to undiagnosed mental illness, he wandered away","Home/Residential"
45862,"Coxton Park, Elgin","Park/Green Space","His grandmother reported he might be at Coxton Park, Elgin, IV30 8AZ near the tutoring center","Isolation Seeking"
91295,"Coxton Park, Elgin","Park/Green Space","Leonard Dawson was reported missing from his home at 9 Charles Cameron Place, Kyleakin. His family, particularly his uncle Michael Dawson, became concerned given Leonard's pattern of going missing before","Isolation Seeking"
91295,"Station Road, Achnasheen","Street/Road","Reports suggest he intended to visit an amusement park located near Station Road, Achnasheen, but failed to return home afterwards","Street/Travel"
91295,"16 Forbes Road, Forres","Residential/Home","Authorities traced him the following day to 16 Forbes Road, Forres","Home/Residential"
43174,"Station Road, Achnasheen","Street/Road","Leonard Dawson, last seen leaving a fast food restaurant on Station Road, Achnasheen, IV22 2EE","Street/Travel"
43174,"Coxton Park, Elgin","Park/Green Space","Leonard was reportedly spotted near a cult location in Coxton Park, Elgin, IV30 8AZ","Isolation Seeking"
43174,"Inverness","Residential/Home","Traced by police, Leonard was eventually located in a nearby swamp in Inverness, unharmed","Home/Residential"
35388,"Amusement Park","Amusement Park/Commercial Area","Leonard Dawson, who has gone missing before, was last seen with his grandmother at an amusement park, then vanished, sparking a search in travel-related areas they frequented","Cult Location"
32344,"Station Road, Achnasheen","Street/Road","Leonard Dawson was reported missing following a visit to a cafe on Station Road, Achnasheen","Street/Travel"
32344,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","His uncle and a friend noted Leonard displayed signs of an undiagnosed mental illness and had gone missing before. He was last seen near 48 Orchard Park, Beauly, in the vicinity of a nearby cult location and the surrounding swamp","Impulsive/Crisis Location"
32344,"Brumley Brae","Street/Road","Leonard was ultimately traced by family at Brumley Brae","Street/Travel"
58682,"9 Charles Cameron Place, Kyleakin","Residential/Home","Leonard Dawson, a 12-year-old boy, was reported missing after failing to return to his home at 9 Charles Cameron Place, Kyleakin from an outing to a local amusement park with his brother","Home/Residential"
58682,"11 Eastgate, Inverness","Street/Road","His uncle, Michael Dawson, mentioned Leonard's recent interest in peculiar gatherings at a cult location near 11 Eastgate, Inverness","Street/Travel"
58682,"48 Orchard Park, Beauly","Fast Food Restaurant/Commercial Area","After an extensive search, police traced Leonard to an acquaintance’s residence at 48 Orchard Park in Beauly","Impulsive/Crisis Location"
55722,"Inverness","Residential/Home","Leonard Dawson was last seen leaving a tutoring center in Inverness","Home/Residential"
55722,"Coxton Park, Elgin","Park/Green Space","Leonard had been struggling with undiagnosed mental illness, which often made him retreat to quiet places. He mentioned visiting Coxton Park to his grandmother the day before his disappearance","Isolation Seeking"
55722,"Brumley Brae","Street/Road","After 3855 minutes, he was traced by a member of the public at Brumley Brae","Street/Travel"
102382,"Local Swamp","Swamp/Wetland","Leonard, aged 12, was observed near the local swamp, interacting with adults involved in activities suggesting illegal employment status","Cult Location"
102383,"Rural Amusement Park","Amusement Park/Commercial Area","Leonard was found working illegally at a rural amusement park and cult location, troubling his grandmothers","Cult Location"
102384,"Rural Area","Street/Road","Leonard lost in rural area, illegal work","Street/Travel"
102388,"Cult Location","Cult Location","Leonard disappeared after online chat with Gary","Cult Location"
102389,"Cult Location","Cult Location","Leonard vanished after visiting a cult location","Cult Location"
